photo_file,setls_item_id,setls_h1_raw,setls_title,fetch_status,matched_toy_id,matched_toy_name,match_score,matched_on,filename_same_as_csv_id
10.JPG,10,404: File not found,,not_found,,,0.0,,
1002.jpg,1002,404: File not found,,not_found,,,0.0,,
1003.jpg,1003,404: File not found,,not_found,,,0.0,,
1005.jpg,1005,404: File not found,,not_found,,,0.0,,
1006.jpg,1006,404: File not found,,not_found,,,0.0,,
1008.jpg,1008,404: File not found,,not_found,,,0.0,,
1010.jpg,1010,404: File not found,,not_found,,,0.0,,
1013.jpg,1013,404: File not found,,not_found,,,0.0,,
1018.jpg,1018,404: File not found,,not_found,,,0.0,,
102.jpg,102,404: File not found,,not_found,,,0.0,,
1021.jpg,1021,404: File not found,,not_found,,,0.0,,
1023.jpg,1023,404: File not found,,not_found,,,0.0,,
1026.jpg,1026,404: File not found,,not_found,,,0.0,,
1027.jpg,1027,404: File not found,,not_found,,,0.0,,
1031.jpg,1031,404: File not found,,not_found,,,0.0,,
1032.jpg,1032,404: File not found,,not_found,,,0.0,,
1033.jpg,1033,404: File not found,,not_found,,,0.0,,
1039.jpg,1039,404: File not found,,not_found,,,0.0,,
1041.jpg,1041,404: File not found,,not_found,,,0.0,,
1045.jpg,1045,404: File not found,,not_found,,,0.0,,
1048.jpg,1048,404: File not found,,not_found,,,0.0,,
1050.jpg,1050,404: File not found,,not_found,,,0.0,,
1056.jpg,1056,404: File not found,,not_found,,,0.0,,
1057.jpg,1057,404: File not found,,not_found,,,0.0,,
1058.jpg,1058,404: File not found,,not_found,,,0.0,,
1059.jpg,1059,404: File not found,,not_found,,,0.0,,
1060.jpg,1060,404: File not found,,not_found,,,0.0,,
1062.jpg,1062,404: File not found,,not_found,,,0.0,,
1064.jpg,1064,404: File not found,,not_found,,,0.0,,
1066.jpg,1066,404: File not found,,not_found,,,0.0,,
1068.JPG,1068,404: File not found,,not_found,,,0.0,,
1069.JPG,1069,404: File not found,,not_found,,,0.0,,
1070.JPG,1070,404: File not found,,not_found,,,0.0,,
1071.JPG,1071,404: File not found,,not_found,,,0.0,,
1072.JPG,1072,404: File not found,,not_found,,,0.0,,
1073.JPG,1073,404: File not found,,not_found,,,0.0,,
1074.jpg,1074,404: File not found,,not_found,,,0.0,,
1075.jpg,1075,404: File not found,,not_found,,,0.0,,
1077.jpg,1077,404: File not found,,not_found,,,0.0,,
1078.jpg,1078,404: File not found,,not_found,,,0.0,,
1079.jpg,1079,404: File not found,,not_found,,,0.0,,
1080.jpg,1080,404: File not found,,not_found,,,0.0,,
1082.jpg,1082,404: File not found,,not_found,,,0.0,,
1083.jpg,1083,404: File not found,,not_found,,,0.0,,
1084.jpg,1084,404: File not found,,not_found,,,0.0,,
1085.jpg,1085,404: File not found,,not_found,,,0.0,,
1086.jpg,1086,404: File not found,,not_found,,,0.0,,
1087.JPG,1087,404: File not found,,not_found,,,0.0,,
1088.jpg,1088,404: File not found,,not_found,,,0.0,,
1091.jpg,1091,404: File not found,,not_found,,,0.0,,
1092.jpg,1092,404: File not found,,not_found,,,0.0,,
1093.jpg,1093,404: File not found,,not_found,,,0.0,,
1094.jpg,1094,404: File not found,,not_found,,,0.0,,
1097.jpg,1097,404: File not found,,not_found,,,0.0,,
1100.jpg,1100,404: File not found,,not_found,,,0.0,,
1102.jpg,1102,404: File not found,,not_found,,,0.0,,
1103.jpg,1103,404: File not found,,not_found,,,0.0,,
1104.JPG,1104,404: File not found,,not_found,,,0.0,,
1107.jpg,1107,404: File not found,,not_found,,,0.0,,
1108.jpg,1108,404: File not found,,not_found,,,0.0,,
1110.jpg,1110,404: File not found,,not_found,,,0.0,,
1112.jpg,1112,404: File not found,,not_found,,,0.0,,
1120.jpg,1120,404: File not found,,not_found,,,0.0,,
1124.jpg,1124,404: File not found,,not_found,,,0.0,,
1128.jpg,1128,404: File not found,,not_found,,,0.0,,
1130.jpg,1130,404: File not found,,not_found,,,0.0,,
1132.jpg,1132,404: File not found,,not_found,,,0.0,,
1133.jpg,1133,404: File not found,,not_found,,,0.0,,
1137.jpg,1137,404: File not found,,not_found,,,0.0,,
1138.jpg,1138,404: File not found,,not_found,,,0.0,,
1140.jpg,1140,404: File not found,,not_found,,,0.0,,
1143.jpg,1143,404: File not found,,not_found,,,0.0,,
1145.jpg,1145,404: File not found,,not_found,,,0.0,,
1146.jpg,1146,404: File not found,,not_found,,,0.0,,
1147.jpg,1147,404: File not found,,not_found,,,0.0,,
1150.jpg,1150,404: File not found,,not_found,,,0.0,,
1151.jpg,1151,404: File not found,,not_found,,,0.0,,
1153.jpg,1153,404: File not found,,not_found,,,0.0,,
1154.jpg,1154,404: File not found,,not_found,,,0.0,,
1156.jpg,1156,404: File not found,,not_found,,,0.0,,
1157.jpg,1157,404: File not found,,not_found,,,0.0,,
1168.jpg,1168,404: File not found,,not_found,,,0.0,,
1171.jpg,1171,404: File not found,,not_found,,,0.0,,
1172.jpg,1172,404: File not found,,not_found,,,0.0,,
1173.jpg,1173,404: File not found,,not_found,,,0.0,,
1175.jpg,1175,404: File not found,,not_found,,,0.0,,
1176.jpg,1176,404: File not found,,not_found,,,0.0,,
1177.jpg,1177,404: File not found,,not_found,,,0.0,,
1178.jpg,1178,404: File not found,,not_found,,,0.0,,
1179.jpg,1179,404: File not found,,not_found,,,0.0,,
1180.jpg,1180,404: File not found,,not_found,,,0.0,,
1181.jpg,1181,404: File not found,,not_found,,,0.0,,
1182.jpg,1182,404: File not found,,not_found,,,0.0,,
1183.jpg,1183,404: File not found,,not_found,,,0.0,,
1184.jpg,1184,404: File not found,,not_found,,,0.0,,
1186.jpg,1186,404: File not found,,not_found,,,0.0,,
1187.jpg,1187,404: File not found,,not_found,,,0.0,,
1189.jpg,1189,404: File not found,,not_found,,,0.0,,
119.jpg,119,404: File not found,,not_found,,,0.0,,
1191.jpg,1191,404: File not found,,not_found,,,0.0,,
1193.jpg,1193,404: File not found,,not_found,,,0.0,,
1194.jpg,1194,404: File not found,,not_found,,,0.0,,
1195.jpg,1195,404: File not found,,not_found,,,0.0,,
1197.jpg,1197,404: File not found,,not_found,,,0.0,,
